Tiempo,ID,PosX,PosY,Masa,Activa
1.63,4,67.18,82.09,2.5,1
1.64,1,34.6,17.19,2,1
1.64,2,86.3634,28.7748,3,1
1.64,3,19.2875,65.4,1.5,1
1.64,4,67.04,82.1725,2.5,1
1.65,1,34.75,17.1,2,1
1.65,2,86.4998,28.8479,3,1
1.65,3,19.205,65.25,1.5,1
1.65,4,66.9,82.255,2.5,1
1.66,1,34.9,17.01,2,1
1.66,2,86.6363,28.921,3,1
1.66,3,19.1225,65.1,1.5,1
1.66,4,66.76,82.3375,2.5,1
1.67,1,35.05,16.92,2,1
1.67,2,86.7728,28.9941,3,1
1.67,3,19.04,64.95,1.5,1
1.67,4,66.62,82.42,2.5,1
1.68,1,35.2,16.83,2,1
1.68,2,86.9092,29.0672,3,1
1.68,3,18.9575,64.8,1.5,1
1.68,4,66.48,82.5025,2.5,1
1.69,1,35.35,16.74,2,1
1.69,2,87.0457,29.1403,3,1
1.69,3,18.875,64.65,1.5,1
1.69,4,66.34,82.585,2.5,1
1.7,1,35.5,16.65,2,1
1.7,2,87.1821,29.2134,3,1
1.7,3,18.7925,64.5,1.5,1
1.7,4,66.2,82.6675,2.5,1
1.71,1,35.65,16.56,2,1
1.71,2,87.3186,29.2865,3,1
1.71,3,18.71,64.35,1.5,1
1.71,4,66.06,82.75,2.5,1
1.72,1,35.8,16.47,2,1
1.72,2,87.4551,29.3595,3,1
1.72,3,18.6275,64.2,1.5,1
1.72,4,65.92,82.8325,2.5,1
1.73,1,35.95,16.38,2,1
1.73,2,87.5915,29.4326,3,1
1.73,3,18.545,64.05,1.5,1
1.73,4,65.78,82.915,2.5,1
1.74,1,36.1,16.29,2,1
1.74,2,87.728,29.5057,3,1
1.74,3,18.4625,63.9,1.5,1
1.74,4,65.64,82.9975,2.5,1
1.75,1,36.25,16.2,2,1
1.75,2,87.8644,29.5788,3,1
1.75,3,18.38,63.75,1.5,1
1.75,4,65.5,83.08,2.5,1
1.76,1,36.4,16.11,2,1
1.76,2,88.0009,29.6519,3,1
1.76,3,18.2975,63.6,1.5,1
1.76,4,65.36,83.1625,2.5,1
1.77,1,36.55,16.02,2,1
1.77,2,88.1374,29.725,3,1
1.77,3,18.215,63.45,1.5,1
1.77,4,65.22,83.245,2.5,1
1.78,1,36.7,15.93,2,1
1.78,2,88.2738,29.7981,3,1
1.78,3,18.1325,63.3,1.5,1
1.78,4,65.08,83.3275,2.5,1
1.79,1,36.85,15.84,2,1
1.79,2,88.4103,29.8712,3,1
1.79,3,18.05,63.15,1.5,1
1.79,4,64.94,83.41,2.5,1
1.8,1,37,15.75,2,1
1.8,2,88.5467,29.9443,3,1
1.8,3,17.9675,63,1.5,1
